"Rank","Name","Symbol","marketcap","price (USD)","country"
"227","Surteco Group","SUR.DE","237245692","15.3005","Germany"
"228","ÖKOWORLD","VVV3.DE","229379113","32.8962","Germany"
"229","UmweltBank","UBK.DE","226202404","6.27322","Germany"
"230","LPKF Laser &amp; Electronics","LPK.DE","218460590","8.91803","Germany"
"231","Aumann AG","AAG.DE","217752866","14.8197","Germany"
"232","Atai Life Sciences","ATAI","217627792","1.3","Germany"
"233","STINAG Stuttgart Invest","STG.F","213131803","14.2077","Germany"
"234","Allgeier","AEIN.DE","205121871","17.9235","Germany"
"235","Deutsche Rohstoff","DR0.DE","201311685","40.2186","Germany"
"236","Baader Bank","BWB.DE","199455633","4.08743","Germany"
"237","home24","H24.HM","191644713","5.68306","Germany"
"238","Ernst Russ","HXCK.DE","189744822","5.34426","Germany"
"239","Koenig &amp; Bauer","SKB.DE","189628852","11.4754","Germany"
"240","Eisen- und Hüttenwerke","EIS.F","188502732","10.7104","Germany"
"241","ADM Hamburg","OEL.F","186586264","242.623","Germany"
"242","SCHMID Group","SHMD","184792080","4.3","Germany"
"243","AGROB Immobilien","AGR.F","184467078","47.4317","Germany"
"244","Quirin Privatbank","QB7.DE","183140756","4.21858","Germany"
"245","Lang &amp; Schwarz","LUS1.DE","183086881","19.3989","Germany"
"246","The Platform Group","TPG.F","177246793","8.91803","Germany"
"247","Leifheit","LEI.DE","175846068","18.4699","Germany"
"248","Funkwerk AG","FEW.F","171763252","21.3115","Germany"
"249","Westwing Group","WEW.DE","161260205","8.02186","Germany"
"250","clearvise AG","ABO.DE","160593696","2.13115","Germany"
"251","CR Energy","CRZK.DE","159815921","6.79781","Germany"
"252","Kulmbacher Brauerei","KUL.MU","153495082","45.6831","Germany"
"253","Serviceware","SJJ.DE","145737705","13.8798","Germany"
"254","Beta Systems Software","BSS.F","142775956","31.0383","Germany"
"255","trivago","TRVG","141849712","2.03","Germany"
"256","Sino AG","XTP.DE","137950820","59.0164","Germany"
"257","Mediclin","MED.DE","137049189","2.88525","Germany"
"258","Tele Columbus","TC1.HM","132910793","0.448087","Germany"
"259","Nabaltec","NTG.DE","131759563","14.9727","Germany"
"260","Westag AG","WUG3.F","130570299","28.4153","Germany"
"261","Schloss Wachenheim","SWA.DE","129836066","16.3934","Germany"
"262","Sloman Neptun","NEP.HM","128890824","64.4809","Germany"
"263","Heidelberg Pharma","HPHA.DE","128354754","2.7541","Germany"
"264","HMS Bergbau","HMU.DE","127127082","27.9781","Germany"
"265","Merkur PrivatBank","MBK.DE","126670356","16.2842","Germany"
"266","Grammer AG","GMM.DE","124639825","8.36066","Germany"
"267","BAUER Group","B5A.HM","124328140","4.76503","Germany"
"268","SHW Group","SW10.HM","124160157","12.5683","Germany"
"269","R. Stahl AG","RSL2.DE","121057932","18.7978","Germany"
"270","Bastei Lübbe","BST.DE","120459934","9.12568","Germany"
"271","Enapter AG","H2O.DE","118796564","4.2623","Germany"
"272","NFON AG","NFN.DE","111312664","6.66667","Germany"
"273","technotrans","TTR1.DE","108710715","15.7377","Germany"
"274","FCR Immobilien","FC9.DE","107873766","10.929","Germany"
"275","q.beyond","QBY.DE","107832315","0.865574","Germany"
"276","Mynaric","MYNA","106653320","4.22","Germany"
"277","Clere AG","CAG0.HM","106389753","13.6612","Germany"
"278","Masterflex","MZX.DE","106169548","11.0383","Germany"
"279","Dr. Hönle AG","HNL.DE","105668310","17.4317","Germany"
"280","Smartbroker Holding","SB1.DE","102485438","6.53552","Germany"
"281","Easy Software","ESY.HM","99974828","15.5191","Germany"
"282","Ringmetall","HP3A.DE","99755917","3.43169","Germany"
"283","Netfonds AG","NF4.DE","99282063","42.6229","Germany"
"284","DFV Deutsche Familienversicherung","DFV.DE","98846295","6.77596","Germany"
"285","Deutsche Konsum REIT-AG","DKG.DE","98743895","2.80874","Germany"
"286","Cabka","7GW.F","97565788","3.89071","Germany"
"287","DATA MODUL","DAM.DE","96343711","27.3224","Germany"
"288","Vectron Systems","V3S.DE","94652984","11.7486","Germany"
"289","Laiqon AG","LQAG.DE","94054531","4.93989","Germany"
"290","PWO AG","PWO.DE","93579235","29.9454","Germany"
"291","Mister Spex","MRX.F","93473495","2.74317","Germany"
"292","Varta","VAR1.F","93297486","2.18579","Germany"
"293","centrotherm international","CTNK.F","93207082","4.40437","Germany"
"294","Edel SE &amp; Co. KGaA","EDL.DE","91608664","4.30601","Germany"
"295","Heliad AG","A7A.DE","87319642","10.3825","Germany"
"296","BBI Bürgerliches Brauhaus Immobilien","BBI.F","86382514","16.612","Germany"
"297","KAP AG","IUR.F","84891366","10.929","Germany"
"298","VITA 34","V3V.DE","84206077","4.8306","Germany"
"299","InflaRx","IFRX","83025448","1.41","Germany"
"300","029 Group","Z29.DE","81420765","16.2842","Germany"
"301","Neon Equity AG","D77.DE","79925062","1.79781","Germany"
"302","DEMIRE Deutsche Mittelstand Real Estate","DMRE.DE","78414033","0.743169","Germany"
"303","LUDWIG BECK am Rathauseck - Textilhaus Feldmeier","ECK.DE","77130605","20.8743","Germany"
"304","Nordwest Handel","NWX.F","73557377","22.9508","Germany"
"305","Gateway Real Estate","GTY.F","71864262","0.354098","Germany"
"306","WASGAU Produktions &amp; Handels AG","MSH.F","71409832","10.8197","Germany"
"307","ALBA SE","ABA.F","70977049","7.21311","Germany"
"308","Scherzer &amp; Co. AG","PZS.DE","70678037","2.36066","Germany"
"309","3U Holding","UUU.DE","69924586","1.89945","Germany"
"310","KHD Humboldt Wedag International","KWG.DE","67901093","1.36612","Germany"
"311","Fernheizwerk Neukölln","FHW.F","67366120","29.2896","Germany"
"312","Affimed","AFMD","66848724","4.39","Germany"
"313","FORTEC Elektronik AG","FEV.DE","66074518","20.3279","Germany"
"314","LEWAG Holding","KGR.F","65437377","13.7705","Germany"
"315","CGRE AG","LKB.DE","64590168","10.765","Germany"
"316","CS Diagnostics","FZRO","64258200","0.58","Germany"
"317","ORBIS AG","OBS.DE","62612940","6.61202","Germany"
"318","Bike24 Holding","BIKE.DE","62265972","1.40984","Germany"
"319","YOC AG","YOC.DE","60790907","17.4863","Germany"
"320","Cherry SE","C3RY.DE","56397408","2.35519","Germany"
"321","Exasol AG","EXL.DE","53821443","2.22951","Germany"
"322","HanseYachts AG","H9Y.DE","53107599","2.78685","Germany"
"323","Müller - Die lila Logistik","MLL.DE","52168852","6.55738","Germany"
"324","cyan AG","CYR.DE","52073460","2.57923","Germany"
"325","Berentzen-Gruppe","BEZ.DE","50612997","5.38798","Germany"
"326","Manz AG","M5Z.DE","49481556","5.79235","Germany"
"327","MS Industrie","MSAG.DE","48474772","1.61749","Germany"
"328","ecotel communication","E4C.DE","48334426","13.7705","Germany"
"329","IBU-tec advanced materials AG","IBU.DE","47759563","10.0546","Germany"
"330","BRAIN Biotech","BNN.DE","47515327","2.17486","Germany"
"331","Daldrup &amp; Söhne","4DS.DE","47368511","7.91257","Germany"
"332","AHT Syngas Technology","3SQ1.DE","47055738","20.1093","Germany"
"333","Cliq Digital AG","CLIQ.DE","46208323","7.10383","Germany"
"334","The NAGA Group","N4G.DE","46087480","0.828415","Germany"
"335","Softing AG","SYT.DE","45914391","5.0929","Germany"
"336","ad pepper media International","APM.DE","45581517","2.0765","Germany"
"337","Francotyp-Postalia Holding AG","FPH.DE","43712769","2.79781","Germany"
"338","DocCheck","AJ91.DE","42974977","8.46995","Germany"
"339","GORE German Office Real Estate","GAG.DE","42651366","0.830601","Germany"
"340","Dierig Holding AG","DIE.DE","41703642","10.1639","Germany"
